stage,split,coco_split,coco_image_id,source_url,classes
base,train,train2017,000000010693,http://images.cocodataset.org/train2017/000000010693.jpg,person
base,train,train2017,000000018605,http://images.cocodataset.org/train2017/000000018605.jpg,person
base,train,train2017,000000018942,http://images.cocodataset.org/train2017/000000018942.jpg,person
base,train,train2017,000000021435,http://images.cocodataset.org/train2017/000000021435.jpg,table
base,train,train2017,000000024520,http://images.cocodataset.org/train2017/000000024520.jpg,"person,table"
base,train,train2017,000000027142,http://images.cocodataset.org/train2017/000000027142.jpg,"person,chair,table"
base,train,train2017,000000027718,http://images.cocodataset.org/train2017/000000027718.jpg,"chair,table"
base,train,train2017,000000034377,http://images.cocodataset.org/train2017/000000034377.jpg,"person,chair"
base,train,train2017,000000035825,http://images.cocodataset.org/train2017/000000035825.jpg,"person,chair"
base,train,train2017,000000038895,http://images.cocodataset.org/train2017/000000038895.jpg,"person,chair"
base,train,train2017,000000046146,http://images.cocodataset.org/train2017/000000046146.jpg,"person,table"
base,train,train2017,000000049746,http://images.cocodataset.org/train2017/000000049746.jpg,"person,table"
base,train,train2017,000000054806,http://images.cocodataset.org/train2017/000000054806.jpg,"person,chair,table"
base,train,train2017,000000057878,http://images.cocodataset.org/train2017/000000057878.jpg,"person,chair,table"
base,train,train2017,000000063845,http://images.cocodataset.org/train2017/000000063845.jpg,table
base,train,train2017,000000064760,http://images.cocodataset.org/train2017/000000064760.jpg,"person,table"
base,train,train2017,000000066292,http://images.cocodataset.org/train2017/000000066292.jpg,person
base,train,train2017,000000070865,http://images.cocodataset.org/train2017/000000070865.jpg,"person,chair,table"
base,train,train2017,000000071738,http://images.cocodataset.org/train2017/000000071738.jpg,"person,chair"
base,train,train2017,000000075213,http://images.cocodataset.org/train2017/000000075213.jpg,"person,chair,table"
base,train,train2017,000000079070,http://images.cocodataset.org/train2017/000000079070.jpg,person
base,train,train2017,000000084157,http://images.cocodataset.org/train2017/000000084157.jpg,person
base,train,train2017,000000086135,http://images.cocodataset.org/train2017/000000086135.jpg,chair
base,train,train2017,000000086946,http://images.cocodataset.org/train2017/000000086946.jpg,chair
base,train,train2017,000000089062,http://images.cocodataset.org/train2017/000000089062.jpg,"chair,table"
base,train,train2017,000000089340,http://images.cocodataset.org/train2017/000000089340.jpg,person
base,train,train2017,000000090862,http://images.cocodataset.org/train2017/000000090862.jpg,"person,chair,table"
base,train,train2017,000000094957,http://images.cocodataset.org/train2017/000000094957.jpg,table
base,train,train2017,000000095677,http://images.cocodataset.org/train2017/000000095677.jpg,person
base,train,train2017,000000097504,http://images.cocodataset.org/train2017/000000097504.jpg,person
base,train,train2017,000000110415,http://images.cocodataset.org/train2017/000000110415.jpg,"person,chair"
base,train,train2017,000000111624,http://images.cocodataset.org/train2017/000000111624.jpg,chair
base,train,train2017,000000117636,http://images.cocodataset.org/train2017/000000117636.jpg,"person,chair,table"
base,train,train2017,000000121989,http://images.cocodataset.org/train2017/000000121989.jpg,"person,chair,table"
base,train,train2017,000000123312,http://images.cocodataset.org/train2017/000000123312.jpg,"person,table"
base,train,train2017,000000125555,http://images.cocodataset.org/train2017/000000125555.jpg,"person,table"
base,train,train2017,000000127076,http://images.cocodataset.org/train2017/000000127076.jpg,"person,chair"
base,train,train2017,000000129437,http://images.cocodataset.org/train2017/000000129437.jpg,"person,chair"
base,train,train2017,000000130043,http://images.cocodataset.org/train2017/000000130043.jpg,person
base,train,train2017,000000135626,http://images.cocodataset.org/train2017/000000135626.jpg,"person,table"
base,train,train2017,000000137315,http://images.cocodataset.org/train2017/000000137315.jpg,"person,chair,table"
base,train,train2017,000000141923,http://images.cocodataset.org/train2017/000000141923.jpg,person
base,train,train2017,000000151664,http://images.cocodataset.org/train2017/000000151664.jpg,"person,table"
base,train,train2017,000000152628,http://images.cocodataset.org/train2017/000000152628.jpg,person
base,train,train2017,000000154496,http://images.cocodataset.org/train2017/000000154496.jpg,person
base,train,train2017,000000159269,http://images.cocodataset.org/train2017/000000159269.jpg,"chair,table"
base,train,train2017,000000162828,http://images.cocodataset.org/train2017/000000162828.jpg,person
base,train,train2017,000000170442,http://images.cocodataset.org/train2017/000000170442.jpg,chair
base,train,train2017,000000180460,http://images.cocodataset.org/train2017/000000180460.jpg,person
base,train,train2017,000000184425,http://images.cocodataset.org/train2017/000000184425.jpg,"person,table"
base,train,train2017,000000193452,http://images.cocodataset.org/train2017/000000193452.jpg,table
base,train,train2017,000000194097,http://images.cocodataset.org/train2017/000000194097.jpg,"person,chair,table"
base,train,train2017,000000211425,http://images.cocodataset.org/train2017/000000211425.jpg,person
base,train,train2017,000000217113,http://images.cocodataset.org/train2017/000000217113.jpg,"person,chair,table"
base,train,train2017,000000223838,http://images.cocodataset.org/train2017/000000223838.jpg,"person,table"
base,train,train2017,000000244782,http://images.cocodataset.org/train2017/000000244782.jpg,"person,table"
base,train,train2017,000000247247,http://images.cocodataset.org/train2017/000000247247.jpg,person
base,train,train2017,000000248786,http://images.cocodataset.org/train2017/000000248786.jpg,"person,table"
