model,group,classes,precision,recall,map50,map50_95,forgetting
base_hope_coco80.pt,base_old,"person, chair, dining table",0.34377816643188,0.5310781636316412,0.4396347561998007,0.20369403677210138,
incremental_hope_no_replay_coco80.pt,no_replay_old,"person, chair, dining table",0.07179132040627885,0.5616864878745566,0.15154980905908352,0.06390023749878906,
incremental_hope_no_replay_coco80.pt,no_replay_new,"laptop, book",0.4414862856651992,0.6554160125588697,0.5926991587404168,0.4348904037060778,
nestdetect_hope_cms_only.pt,cms_v1_old,"person, chair, dining table",0.07482839153179635,0.6008153177010609,0.14229750063206953,0.05700469389247932,
nestdetect_hope_cms_only.pt,cms_v1_new,"laptop, book",0.5823480175506239,0.5635792778649922,0.575957440669721,0.41003843926096667,
nestdetect_hope_cms_only_v2.pt,cms_v2_old,"person, chair, dining table",0.04299315704385076,0.6738167461119938,0.14188319433534854,0.05711821013180337,
nestdetect_hope_cms_only_v2.pt,cms_v2_new,"laptop, book",0.5184232446852306,0.543171114599686,0.5749771026047724,0.4057544004534715,
nestdetect_hope_cms_only_v3.pt,cms_v3_old,"person, chair, dining table",0.33698856608787775,0.5248775632552932,0.43874100715582065,0.2035042116641709,
nestdetect_hope_cms_only_v3.pt,cms_v3_new,"laptop, book",0.05263157894736842,0.07692307692307693,0.024464285714285713,0.010053571428571429,
nestdetect_hope_cms_only_v4.pt,cms_v4_old,"person, chair, dining table",0.34377816643188,0.5310781636316412,0.43967660510415923,0.2037134194000484,
nestdetect_hope_cms_only_v4.pt,cms_v4_new,"laptop, book",0.5823480175506239,0.5635792778649922,0.5757701354542414,0.4096689747352686,
nestdetect_hope_cms_v5.pt,cms_v5_old,"person, chair, dining table",0.34377707408032837,0.5310772295704919,0.4396799989459496,0.2035304109130628,
nestdetect_hope_cms_v5.pt,cms_v5_new,"laptop, book",0.5864599611176868,0.5594045355798652,0.5752720673676092,0.40992810840564264,
nestdetect_hope.pt,replay_old,"person, chair, dining table",0.7740426273737627,0.39439457925960936,0.51043246789945,0.25720135481564166,
nestdetect_hope.pt,replay_new,"laptop, book",0.4945812759922914,0.6554160125588697,0.5934981403783713,0.4431272703887409,
